Año	Mes	CaseCount
1958	1	0
1958	2	0
1958	3	0
1958	4	0
1958	5	0
1958	6	0
1958	7	2
1958	8	0
1958	9	0
1958	10	0
1958	11	0
1958	12	0
1959	1	0
1959	2	0
1959	3	0
1959	4	0
1959	5	0
1959	6	0
1959	7	0
1959	8	0
1959	9	0
1959	10	0
1959	11	0
1959	12	0
1960	1	0
1960	2	0
1960	3	0
1960	4	0
1960	5	0
1960	6	0
1960	7	0
1960	8	0
1960	9	0
1960	10	0
1960	11	0
1960	12	0
1961	1	7
1961	2	0
1961	3	0
1961	4	0
1961	5	0
1961	6	0
1961	7	0
1961	8	0
1961	9	0
1961	10	0
1961	11	0
1961	12	0
1962	1	0
1962	2	2
1962	3	0
1962	4	0
1962	5	0
1962	6	0
1962	7	0
1962	8	2
1962	9	0
1962	10	0
1962	11	0
1962	12	0
1963	1	0
1963	2	0
1963	3	0
1963	4	0
1963	5	0
1963	6	0
1963	7	0
1963	8	0
1963	9	0
1963	10	0
1963	11	0
1963	12	0
1964	1	0
1964	2	0
1964	3	0
1964	4	1
1964	5	0
1964	6	0
1964	7	0
1964	8	0
1964	9	0
1964	10	0
1964	11	0
1964	12	0
1965	1	0
1965	2	0
1965	3	0
1965	4	0
1965	5	0
1965	6	0
1965	7	0
1965	8	0
1965	9	0
1965	10	0
1965	11	0
1965	12	0
1966	1	0
1966	2	0
1966	3	0
1966	4	0
1966	5	0
1966	6	0
1966	7	0
1966	8	0
1966	9	0
1966	10	0
1966	11	0
1966	12	0
1967	1	0
1967	2	0
1967	3	0
1967	4	0
1967	5	0
1967	6	0
1967	7	0
1967	8	0
1967	9	0
1967	10	0
1967	11	0
1967	12	0
1968	1	0
1968	2	0
1968	3	0
1968	4	1
1968	5	0
1968	6	0
1968	7	0
1968	8	0
1968	9	0
1968	10	0
1968	11	0
1968	12	1
1969	1	0
1969	2	0
1969	3	8
1969	4	1
1969	5	0
1969	6	2
1969	7	0
1969	8	2
1969	9	10
1969	10	4
1969	11	0
1969	12	0
1970	1	1
1970	2	12
1970	3	0
1970	4	0
1970	5	0
1970	6	0
1970	7	0
1970	8	1
1970	9	0
1970	10	5
1970	11	0
1970	12	1
1971	1	1
1971	2	12
1971	3	0
1971	4	0
1971	5	0
1971	6	0
1971	7	0
1971	8	0
1971	9	1
1971	10	0
1971	11	2
1971	12	0
1972	1	0
1972	2	0
1972	3	6
1972	4	0
1972	5	1
1972	6	3
1972	7	0
1972	8	0
1972	9	0
1972	10	0
1972	11	3
1972	12	0
1973	1	10
1973	2	0
1973	3	0
1973	4	0
1973	5	0
1973	6	4
1973	7	1
1973	8	0
1973	9	1
1973	10	0
1973	11	3
1973	12	2
1974	1	0
1974	2	0
1974	3	0
1974	4	0
1974	5	2
1974	6	0
1974	7	0
1974	8	0
1974	9	0
1974	10	0
1974	11	0
1974	12	0
1975	1	0
1975	2	0
1975	3	2
1975	4	0
1975	5	0
1975	6	6
1975	7	0
1975	8	18
1975	9	8
1975	10	1
1975	11	0
1975	12	2
1976	1	2
1976	2	0
1976	3	4
1976	4	1
1976	5	0
1976	6	1
1976	7	2
1976	8	4
1976	9	0
1976	10	1
1976	11	0
1976	12	3
1977	1	1
1977	2	0
1977	3	0
1977	4	5
1977	5	2
1977	6	1
1977	7	7
1977	8	0
1977	9	0
1977	10	1
1977	11	2
1977	12	2
1978	1	6
1978	2	2
1978	3	0
1978	4	0
1978	5	5
1978	6	5
1978	7	5
1978	8	1
1978	9	14
1978	10	2
1978	11	0
1978	12	2
1979	1	1
1979	2	1
1979	3	2
1979	4	1
1979	5	5
1979	6	1
1979	7	3
1979	8	4
1979	9	0
1979	10	6
1979	11	5
1979	12	6
1980	1	3
1980	2	2
1980	3	1
1980	4	5
1980	5	8
1980	6	5
1980	7	6
1980	8	2
1980	9	0
1980	10	4
1980	11	2
1980	12	5
1981	1	0
1981	2	3
1981	3	0
1981	4	4
1981	5	5
1981	6	5
1981	7	10
1981	8	8
1981	9	8
